id,ai_papers
https://openalex.org/I100005738,132
https://openalex.org/I100051649,2
https://openalex.org/I100063501,12
https://openalex.org/I100066346,414
https://openalex.org/I100072489,17
https://openalex.org/I10008193,28
https://openalex.org/I100084298,2
https://openalex.org/I100086675,4
https://openalex.org/I100098275,4
https://openalex.org/I10011244,22
https://openalex.org/I100116408,8
https://openalex.org/I100135526,34
https://openalex.org/I100162341,4
https://openalex.org/I100188998,211
https://openalex.org/I100191712,4
https://openalex.org/I100205273,31
https://openalex.org/I100228500,1
https://openalex.org/I100236772,2
https://openalex.org/I10024668,1
https://openalex.org/I100248960,2
https://openalex.org/I100286613,34
https://openalex.org/I100288624,4
https://openalex.org/I100296615,15
https://openalex.org/I100352790,3
https://openalex.org/I100357981,24
https://openalex.org/I100406981,4
https://openalex.org/I100445878,32
https://openalex.org/I10052268,67
https://openalex.org/I100532134,93
https://openalex.org/I100538780,9
https://openalex.org/I10058456,1
https://openalex.org/I100621029,3
https://openalex.org/I100625452,8
https://openalex.org/I100633361,50
https://openalex.org/I100722782,18
https://openalex.org/I100801824,47
https://openalex.org/I100810301,5
https://openalex.org/I100823543,4
https://openalex.org/I100887729,71
https://openalex.org/I10091056,131
https://openalex.org/I100930933,396
https://openalex.org/I10108838,5
https://openalex.org/I101100930,125
https://openalex.org/I101155339,2
https://openalex.org/I101202996,66
https://openalex.org/I101240087,4
https://openalex.org/I101290598,5
https://openalex.org/I101326570,11
https://openalex.org/I101407740,65
https://openalex.org/I101465142,2
https://openalex.org/I101479585,264
https://openalex.org/I101527212,6
https://openalex.org/I101764726,12
https://openalex.org/I101821357,3
https://openalex.org/I101840525,1
https://openalex.org/I101890099,2
https://openalex.org/I101993903,3
https://openalex.org/I102015815,9
https://openalex.org/I102064193,220
https://openalex.org/I102117144,59
https://openalex.org/I102134673,238
https://openalex.org/I102149020,285
https://openalex.org/I102179633,11
https://openalex.org/I102190016,1
https://openalex.org/I102197404,95
https://openalex.org/I102208913,51
https://openalex.org/I102239671,1
https://openalex.org/I102248843,20
https://openalex.org/I102254642,4
https://openalex.org/I102272798,18
https://openalex.org/I102298084,8
https://openalex.org/I102322052,22
https://openalex.org/I102322142,867
https://openalex.org/I10232997,9
https://openalex.org/I102335020,739
https://openalex.org/I102345215,89
https://openalex.org/I102347383,2
https://openalex.org/I102373834,1
https://openalex.org/I102379361,19
https://openalex.org/I102398690,4
https://openalex.org/I102401767,27
https://openalex.org/I102420622,1
https://openalex.org/I10245363,5
https://openalex.org/I102461120,75
https://openalex.org/I102471911,2
https://openalex.org/I102475099,8
https://openalex.org/I102502594,50
https://openalex.org/I102516824,30
https://openalex.org/I102520234,12
https://openalex.org/I102541696,3
https://openalex.org/I102541862,36
https://openalex.org/I102555177,4
https://openalex.org/I102607778,15
https://openalex.org/I102669525,20
https://openalex.org/I102782458,135
https://openalex.org/I102786147,24
https://openalex.org/I102799917,6
https://openalex.org/I102822971,9
https://openalex.org/I102826571,1
https://openalex.org/I102839717,8
https://openalex.org/I102882674,15
https://openalex.org/I102893293,69
https://openalex.org/I102913810,354
https://openalex.org/I102939073,39
https://openalex.org/I103031861,17
https://openalex.org/I103084370,11
https://openalex.org/I103087548,11
https://openalex.org/I103114056,1
https://openalex.org/I103146751,6
https://openalex.org/I103163165,283
https://openalex.org/I103167339,17
https://openalex.org/I103187081,41
https://openalex.org/I103193709,9
https://openalex.org/I103225651,2
https://openalex.org/I103250015,2
https://openalex.org/I103320735,94
https://openalex.org/I103356709,184
https://openalex.org/I103365165,2
https://openalex.org/I103390050,12
https://openalex.org/I103402955,41
https://openalex.org/I103406327,18
https://openalex.org/I10342815,1
https://openalex.org/I103429306,1
https://openalex.org/I103434671,100
https://openalex.org/I103497121,2
https://openalex.org/I103527128,1
https://openalex.org/I103531236,44
https://openalex.org/I103562704,6
https://openalex.org/I103583917,16
https://openalex.org/I103605065,1
https://openalex.org/I103605164,5
https://openalex.org/I103609485,1
https://openalex.org/I103635307,403
https://openalex.org/I103703290,70
https://openalex.org/I103720208,23
https://openalex.org/I103737770,29
https://openalex.org/I103775301,125
https://openalex.org/I103855431,1
https://openalex.org/I103890011,9
https://openalex.org/I103911934,41
https://openalex.org/I103922791,6
https://openalex.org/I103956831,1
https://openalex.org/I103990859,1
https://openalex.org/I104146711,9
https://openalex.org/I10421873,2
https://openalex.org/I104234503,6
https://openalex.org/I104338594,75
https://openalex.org/I104362916,1
https://openalex.org/I104411113,3
https://openalex.org/I104546213,10
https://openalex.org/I10457146,52
https://openalex.org/I104588304,4
https://openalex.org/I104628220,2
https://openalex.org/I104651037,3
https://openalex.org/I104658917,1
https://openalex.org/I104817121,40
https://openalex.org/I104854061,14
https://openalex.org/I104906788,3
https://openalex.org/I104914703,24
https://openalex.org/I104941359,8
https://openalex.org/I104946051,46
https://openalex.org/I104954885,5
https://openalex.org/I10496686,4
https://openalex.org/I105036370,177
https://openalex.org/I105056648,6
https://openalex.org/I105086349,22
https://openalex.org/I105094715,180
https://openalex.org/I105126617,2
https://openalex.org/I105140100,57
https://openalex.org/I105201765,3
https://openalex.org/I105292261,1
https://openalex.org/I105296287,18
https://openalex.org/I10535382,707
https://openalex.org/I10541126,28
https://openalex.org/I105419764,2
https://openalex.org/I105454292,278
https://openalex.org/I105559250,1
https://openalex.org/I105695857,40
https://openalex.org/I10572248,3
https://openalex.org/I105818395,53
https://openalex.org/I105925353,201
https://openalex.org/I10595761,6
https://openalex.org/I105991555,34
https://openalex.org/I106053113,2
https://openalex.org/I106079672,57
https://openalex.org/I106107269,5
https://openalex.org/I106118109,128
https://openalex.org/I106157433,106
https://openalex.org/I106165777,642
https://openalex.org/I106245021,18
https://openalex.org/I106296451,22
https://openalex.org/I106306868,23
https://openalex.org/I106349282,1
https://openalex.org/I10640828,1
https://openalex.org/I106460735,1
https://openalex.org/I106465526,1
https://openalex.org/I106530797,3
https://openalex.org/I10654025,55
https://openalex.org/I106542073,105
https://openalex.org/I10660446,297
https://openalex.org/I106618798,8
https://openalex.org/I106645853,219
https://openalex.org/I106663880,48
https://openalex.org/I106745318,20
https://openalex.org/I106778892,53
https://openalex.org/I106785703,28
https://openalex.org/I106826634,57
https://openalex.org/I106841677,10
https://openalex.org/I106845459,2
https://openalex.org/I106938459,116
https://openalex.org/I106959904,63
https://openalex.org/I106969075,12
https://openalex.org/I106980716,3
https://openalex.org/I106994412,61
https://openalex.org/I10703595,8
https://openalex.org/I107049736,53
https://openalex.org/I107077323,351
https://openalex.org/I107098906,2
https://openalex.org/I107118585,3
https://openalex.org/I107139065,1
https://openalex.org/I107139324,41
https://openalex.org/I107158390,14
https://openalex.org/I107182072,2
https://openalex.org/I107222888,2
https://openalex.org/I107229657,1
https://openalex.org/I107257983,39
https://openalex.org/I107371206,35
https://openalex.org/I107393875,1
https://openalex.org/I107428990,18
https://openalex.org/I107470533,57
https://openalex.org/I107502644,5
https://openalex.org/I107539069,1
https://openalex.org/I107548175,2
https://openalex.org/I107575416,4
https://openalex.org/I107606265,203
https://openalex.org/I107613613,156
https://openalex.org/I107639228,665
https://openalex.org/I107640659,148
https://openalex.org/I107672454,300
https://openalex.org/I10767319,8
https://openalex.org/I107701971,7
https://openalex.org/I107707843,12
https://openalex.org/I107720978,207
https://openalex.org/I107766831,39
https://openalex.org/I107851509,9
https://openalex.org/I107853901,37
https://openalex.org/I107920810,6
https://openalex.org/I107949126,46
https://openalex.org/I107982497,14
https://openalex.org/I10805791,1
https://openalex.org/I108103353,117
https://openalex.org/I108108428,34
https://openalex.org/I108155624,1
https://openalex.org/I108160477,48
https://openalex.org/I108192572,40
