id,ai_papers
https://openalex.org/I110360157,1
https://openalex.org/I110378019,14
https://openalex.org/I110440473,31
https://openalex.org/I110454016,9
https://openalex.org/I110525433,464
https://openalex.org/I110534114,9
https://openalex.org/I110594554,3
https://openalex.org/I110617504,1
https://openalex.org/I110675161,14
https://openalex.org/I110736937,26
https://openalex.org/I110757952,31
https://openalex.org/I110883965,2
https://openalex.org/I110930757,1
https://openalex.org/I110995367,2
https://openalex.org/I111088046,60
https://openalex.org/I111112146,22
https://openalex.org/I111149068,11
https://openalex.org/I111195156,4
https://openalex.org/I111199411,5
https://openalex.org/I111236770,9
https://openalex.org/I111262870,9
https://openalex.org/I111277659,42
https://openalex.org/I111455621,3
https://openalex.org/I111575329,12
https://openalex.org/I111599522,134
https://openalex.org/I111664937,9
https://openalex.org/I111753288,43
https://openalex.org/I1118541,17
https://openalex.org/I111950717,4
https://openalex.org/I111966504,28
https://openalex.org/I111971639,26
https://openalex.org/I111979921,117
https://openalex.org/I112080488,4
https://openalex.org/I112090838,1
https://openalex.org/I112193423,2
https://openalex.org/I112260969,16
https://openalex.org/I112450260,3
https://openalex.org/I112475681,1
https://openalex.org/I112524849,2
https://openalex.org/I112532030,2
https://openalex.org/I112536369,27
https://openalex.org/I11265461,1
https://openalex.org/I112713213,2
https://openalex.org/I112728665,5
https://openalex.org/I112862951,20
https://openalex.org/I112898310,1
https://openalex.org/I112936343,8
https://openalex.org/I113171187,1
https://openalex.org/I113306721,40
https://openalex.org/I113389987,7
https://openalex.org/I113409471,4
https://openalex.org/I113428412,5
https://openalex.org/I113463164,2
https://openalex.org/I113643904,4
https://openalex.org/I11368126,3
https://openalex.org/I113686770,1
https://openalex.org/I11385950,2
https://openalex.org/I113940042,192
https://openalex.org/I113979032,4
https://openalex.org/I114017466,192
https://openalex.org/I114027177,85
https://openalex.org/I114030911,1
https://openalex.org/I11406153,2
https://openalex.org/I114090438,46
https://openalex.org/I114112103,55
https://openalex.org/I114117164,19
https://openalex.org/I1141210,4
https://openalex.org/I114131015,7
https://openalex.org/I114132059,1
https://openalex.org/I114150738,21
https://openalex.org/I114202661,3
https://openalex.org/I114218197,3
https://openalex.org/I114234892,9
https://openalex.org/I114282444,1
https://openalex.org/I114321285,1
https://openalex.org/I114376631,6
https://openalex.org/I114395901,28
https://openalex.org/I114432228,3
https://openalex.org/I114432678,1
https://openalex.org/I114457229,56
https://openalex.org/I114492817,10
https://openalex.org/I114531698,81
https://openalex.org/I114555603,5
https://openalex.org/I114602248,1
https://openalex.org/I114756412,9
https://openalex.org/I114772536,3
https://openalex.org/I114794399,4
https://openalex.org/I114832834,3
https://openalex.org/I114845381,20
https://openalex.org/I114963175,1
https://openalex.org/I114972647,11
https://openalex.org/I114982161,13
https://openalex.org/I114982338,3
https://openalex.org/I115076166,8
https://openalex.org/I115212828,2
https://openalex.org/I115228651,72
https://openalex.org/I115364640,2
https://openalex.org/I115474868,18
https://openalex.org/I115475287,35
https://openalex.org/I115498069,1
https://openalex.org/I115506172,1
https://openalex.org/I115566878,27
https://openalex.org/I115570527,27
https://openalex.org/I115592961,232
https://openalex.org/I11559806,1
https://openalex.org/I115600380,5
https://openalex.org/I115684694,18
https://openalex.org/I115715567,24
https://openalex.org/I115748381,2
https://openalex.org/I115752224,3
https://openalex.org/I115891769,1
https://openalex.org/I115911606,2
https://openalex.org/I115953327,1
https://openalex.org/I115980683,10
https://openalex.org/I116036724,30
https://openalex.org/I116067653,63
https://openalex.org/I11617743,4
https://openalex.org/I116256631,3
https://openalex.org/I116265982,1
https://openalex.org/I116268893,1
https://openalex.org/I116465919,1
https://openalex.org/I116578957,1
https://openalex.org/I11662577,1
https://openalex.org/I116631150,2
https://openalex.org/I116953780,177
https://openalex.org/I11701301,69
https://openalex.org/I117015748,6
https://openalex.org/I117130818,1
https://openalex.org/I117197279,2
https://openalex.org/I117222138,3
https://openalex.org/I117353377,1
https://openalex.org/I117381506,1
https://openalex.org/I1174212,210
https://openalex.org/I117532281,14
https://openalex.org/I117841876,1
https://openalex.org/I117856277,2
https://openalex.org/I11786554,5
https://openalex.org/I11793825,12
https://openalex.org/I117942362,1
https://openalex.org/I117965899,8
https://openalex.org/I118019719,8
https://openalex.org/I118020396,3
https://openalex.org/I118036225,4
https://openalex.org/I118091203,1
https://openalex.org/I118118575,34
https://openalex.org/I118136607,10
https://openalex.org/I118271192,1
https://openalex.org/I118271803,2
https://openalex.org/I118292597,58
https://openalex.org/I118347220,6
https://openalex.org/I118347636,59
https://openalex.org/I118353179,15
https://openalex.org/I118363741,1
https://openalex.org/I118373667,11
https://openalex.org/I11838497,2
https://openalex.org/I118430337,1
https://openalex.org/I11849452,1
https://openalex.org/I118501908,23
https://openalex.org/I11855966,11
https://openalex.org/I118564535,35
https://openalex.org/I118568048,1
https://openalex.org/I118574674,5
https://openalex.org/I118574687,5
https://openalex.org/I118612203,2
https://openalex.org/I118618916,1
https://openalex.org/I118684936,8
https://openalex.org/I118692353,36
https://openalex.org/I1187138,36
https://openalex.org/I118722661,2
https://openalex.org/I11880225,18
https://openalex.org/I118803816,11
https://openalex.org/I118810699,8
https://openalex.org/I11883440,1
https://openalex.org/I11886867,2
https://openalex.org/I118892805,26
https://openalex.org/I118905719,2
https://openalex.org/I11892038,1
https://openalex.org/I11893660,10
https://openalex.org/I118946981,3
https://openalex.org/I119003972,19
https://openalex.org/I119004910,56
https://openalex.org/I119025939,23
https://openalex.org/I119045251,27
https://openalex.org/I119060216,2
https://openalex.org/I119096390,3
https://openalex.org/I119182057,1
https://openalex.org/I119203015,25
https://openalex.org/I119213423,1
https://openalex.org/I119217307,2
https://openalex.org/I11923345,85
https://openalex.org/I119241673,2
https://openalex.org/I119273862,18
https://openalex.org/I11932220,1
https://openalex.org/I119336515,2
https://openalex.org/I119439378,41
https://openalex.org/I119443389,4
https://openalex.org/I119449181,17
https://openalex.org/I119454577,30
https://openalex.org/I11947397,1
https://openalex.org/I119522612,1
https://openalex.org/I119530710,2
https://openalex.org/I11957088,22
https://openalex.org/I119575151,2
https://openalex.org/I119598438,2
https://openalex.org/I119613165,11
https://openalex.org/I119635470,23
https://openalex.org/I119664326,12
https://openalex.org/I119668213,26
https://openalex.org/I11983389,20
