id,ai_papers_2012,ai_papers_2020,total_2012,total_2020,ai_prcnt_2012,ai_prcnt_2020,ai_growth
https://openalex.org/I100005738,27.0,132.0,1859,1874,1.4523937600860677,7.043756670224119,3.849756907387644
https://openalex.org/I100066346,46.0,414.0,2333,2969,1.9717102443206174,13.944088918827887,6.072078140788143
https://openalex.org/I100072489,4.0,17.0,347,409,1.1527377521613833,4.156479217603912,2.6057457212713935
https://openalex.org/I10011244,6.0,22.0,152,171,3.9473684210526314,12.865497076023392,2.259259259259259
https://openalex.org/I100116408,2.0,8.0,218,732,0.9174311926605505,1.092896174863388,0.19125683060109294
https://openalex.org/I100135526,2.0,34.0,49,200,4.081632653061225,17.0,3.165
https://openalex.org/I100148100,1.0,1.0,51,59,1.9607843137254901,1.694915254237288,-0.13559322033898305
https://openalex.org/I100188998,83.0,211.0,824,802,10.072815533980583,26.309226932668327,1.611903975002253
https://openalex.org/I100236772,1.0,2.0,49,70,2.0408163265306123,2.857142857142857,0.4
https://openalex.org/I10024668,11.0,1.0,420,234,2.619047619047619,0.4273504273504274,-0.8368298368298369
https://openalex.org/I100286613,14.0,34.0,273,181,5.128205128205128,18.784530386740332,2.662983425414365
https://openalex.org/I100296615,4.0,15.0,97,124,4.123711340206185,12.096774193548388,1.9334677419354844
https://openalex.org/I100357981,2.0,24.0,319,481,0.6269592476489028,4.98960498960499,6.9584199584199595
https://openalex.org/I100406981,3.0,4.0,16,104,18.75,3.8461538461538463,-0.7948717948717948
https://openalex.org/I10052268,10.0,67.0,877,1091,1.1402508551881414,6.14115490375802,4.3857928505957835
https://openalex.org/I100532134,4.0,93.0,1033,2492,0.3872216844143272,3.7319422150882824,8.63774077046549
https://openalex.org/I100538780,3.0,9.0,309,431,0.9708737864077669,2.088167053364269,1.1508120649651972
https://openalex.org/I100633361,4.0,50.0,294,440,1.3605442176870748,11.363636363636363,7.3522727272727275
https://openalex.org/I100651130,2.0,1.0,2,3,100.0,33.33333333333333,-0.6666666666666667
https://openalex.org/I100722782,1.0,18.0,198,261,0.5050505050505051,6.896551724137931,12.655172413793101
https://openalex.org/I100801824,7.0,47.0,49,118,14.285714285714285,39.83050847457627,1.788135593220339
https://openalex.org/I100887729,19.0,71.0,374,542,5.080213903743315,13.099630996309964,1.5785589434841718
https://openalex.org/I10091056,3.0,131.0,1489,2180,0.20147750167897915,6.009174311926606,28.825535168195728
https://openalex.org/I100930933,47.0,396.0,2744,4401,1.7128279883381923,8.997955010224949,4.253274159161119
https://openalex.org/I101100930,3.0,125.0,1078,2135,0.27829313543599254,5.85480093676815,20.03825136612022
https://openalex.org/I101155339,1.0,2.0,21,10,4.761904761904762,20.0,3.1999999999999997
https://openalex.org/I101202996,25.0,66.0,1202,1755,2.0798668885191347,3.7606837606837606,0.8081367521367522
https://openalex.org/I101407740,1.0,65.0,15,475,6.666666666666667,13.684210526315791,1.0526315789473686
https://openalex.org/I101479585,11.0,264.0,1472,2531,0.7472826086956522,10.430659818253654,12.958119320426706
https://openalex.org/I101527212,4.0,6.0,395,504,1.0126582278481013,1.1904761904761905,0.175595238095238
https://openalex.org/I101764726,4.0,12.0,27,24,14.814814814814813,50.0,2.3750000000000004
https://openalex.org/I10180231,3.0,1.0,19,68,15.789473684210526,1.4705882352941175,-0.9068627450980392
https://openalex.org/I102064193,29.0,220.0,1633,2231,1.7758726270667484,9.861048857014792,4.552790615001777
https://openalex.org/I102117144,6.0,59.0,142,432,4.225352112676056,13.657407407407407,2.232253086419753
https://openalex.org/I102134673,28.0,238.0,2295,3557,1.2200435729847494,6.691031768344111,4.484256395839191
https://openalex.org/I102149020,23.0,285.0,1094,1746,2.1023765996343693,16.323024054982817,6.764081876587479
https://openalex.org/I102179633,3.0,11.0,300,379,1.0,2.9023746701846966,1.9023746701846966
https://openalex.org/I102197404,23.0,95.0,3137,1272,0.7331845712464138,7.468553459119496,9.186457478807766
https://openalex.org/I102208913,14.0,51.0,802,921,1.7456359102244388,5.537459283387622,2.172173103769195
https://openalex.org/I102248843,7.0,20.0,379,674,1.8469656992084433,2.967359050445104,0.6066129715981349
https://openalex.org/I102322052,2.0,22.0,144,216,1.3888888888888888,10.185185185185185,6.333333333333333
https://openalex.org/I102322142,107.0,867.0,6396,9605,1.6729205753596,9.026548672566372,4.395682739227524
https://openalex.org/I10232997,7.0,9.0,124,430,5.64516129032258,2.0930232558139537,-0.6292358803986711
https://openalex.org/I102335020,94.0,739.0,4012,5286,2.3429710867397806,13.980325387816874,4.966921857012904
https://openalex.org/I102345215,30.0,89.0,470,482,6.382978723404255,18.464730290456433,1.8928077455048413
https://openalex.org/I102373834,1.0,1.0,153,162,0.6535947712418301,0.6172839506172839,-0.05555555555555562
https://openalex.org/I102379361,1.0,19.0,268,730,0.3731343283582089,2.6027397260273974,5.9753424657534255
https://openalex.org/I102401767,29.0,27.0,402,330,7.213930348258707,8.181818181818182,0.13416927899686515
https://openalex.org/I102461120,18.0,75.0,957,912,1.8808777429467085,8.223684210526317,3.372258771929825
https://openalex.org/I102475099,34.0,8.0,636,54,5.345911949685535,14.814814814814813,1.7712418300653592
https://openalex.org/I102502594,13.0,50.0,890,895,1.4606741573033708,5.58659217877095,2.8246669531585726
https://openalex.org/I102516824,4.0,30.0,294,375,1.3605442176870748,8.0,4.880000000000001
https://openalex.org/I102520234,16.0,12.0,96,110,16.666666666666664,10.909090909090908,-0.3454545454545454
https://openalex.org/I102607778,3.0,15.0,524,528,0.5725190839694656,2.840909090909091,3.962121212121212
